code,date,open,close,high,low,volume
SH.688122,2021-09-27 10:00:00,75.67,73.99,76.8,73.4,1142100.0
SH.688122,2021-09-27 10:30:00,73.8,72.18,73.98,71.6,2450700.0
SH.688122,2021-09-27 11:00:00,72.19,71.33,72.71,70.83,1041900.0
SH.688122,2021-09-27 11:30:00,71.17,69.81,71.67,69.0,1369800.0
SH.688122,2021-09-27 13:30:00,70.1,73.11,73.11,69.81,1074100.0
SH.688122,2021-09-27 14:00:00,73.01,73.14,73.35,72.8,617200.0
SH.688122,2021-09-27 14:30:00,73.14,73.17,73.49,73.0,351800.0
SH.688122,2021-09-27 15:00:00,73.17,72.75,73.44,72.75,712500.0
SH.688122,2021-09-28 10:00:00,72.75,74.2,74.29,72.05,863600.0
SH.688122,2021-09-28 10:30:00,74.2,74.33,75.1,73.59,595700.0
SH.688122,2021-09-28 11:00:00,74.38,74.03,74.52,73.77,267400.0
SH.688122,2021-09-28 11:30:00,74.0,74.26,74.41,73.73,210800.0
SH.688122,2021-09-28 13:30:00,74.35,74.11,74.76,73.98,305100.0
SH.688122,2021-09-28 14:00:00,74.3,74.99,74.99,73.96,330300.0
SH.688122,2021-09-28 14:30:00,74.99,74.08,75.38,74.02,691000.0
SH.688122,2021-09-28 15:00:00,74.08,74.12,74.3,73.8,339100.0
SH.688122,2021-09-29 10:00:00,73.99,72.96,74.5,72.52,544700.0
SH.688122,2021-09-29 10:30:00,72.96,71.87,73.38,71.71,451800.0
SH.688122,2021-09-29 11:00:00,71.8,71.7,72.56,71.28,406100.0
SH.688122,2021-09-29 11:30:00,71.65,71.86,72.44,71.23,560700.0
SH.688122,2021-09-29 13:30:00,71.7,72.66,72.74,71.4,361700.0
SH.688122,2021-09-29 14:00:00,72.5,72.12,72.5,72.11,159400.0
SH.688122,2021-09-29 14:30:00,72.12,71.2,72.32,71.0,262300.0
SH.688122,2021-09-29 15:00:00,71.27,71.53,71.76,70.91,474900.0
SH.688122,2021-09-30 10:00:00,70.5,71.94,72.99,70.31,1440700.0
SH.688122,2021-09-30 10:30:00,71.89,69.96,72.0,69.9,1126300.0
SH.688122,2021-09-30 11:00:00,69.95,70.55,70.95,69.8,701200.0
SH.688122,2021-09-30 11:30:00,70.56,71.15,71.43,70.56,334300.0
SH.688122,2021-09-30 13:30:00,71.15,70.88,71.99,70.78,780100.0
SH.688122,2021-09-30 14:00:00,70.89,70.51,71.36,70.51,419700.0
SH.688122,2021-09-30 14:30:00,70.53,71.25,71.33,70.4,453300.0
SH.688122,2021-09-30 15:00:00,71.25,71.8,71.85,70.89,730500.0
SH.688122,2021-10-08 10:00:00,72.48,71.0,72.5,70.45,1084700.0
SH.688122,2021-10-08 10:30:00,71.0,70.9,71.27,70.3,506500.0
SH.688122,2021-10-08 11:00:00,70.9,70.92,71.15,70.36,363500.0
SH.688122,2021-10-08 11:30:00,70.87,70.14,70.89,69.88,227800.0
